Country,Year,Coffee_Consumption_kg,Coffee_Price_USD_kg,Population_Millions,Coffee_Type_Americano,Coffee_Type_Cappuccino,Coffee_Type_Espresso,Coffee_Type_Latte,Coffee_Type_Mocha
Pakistan,2005,8.095757956777227,10.685505462651424,46.71924984376157,0,0,0,1,0
Mexico,2005,4.102514196423534,12.592075306366164,40.52192405777974,1,0,0,0,0
Denmark,2008,2.3618370473617194,8.948511648975618,76.35491216412436,0,0,1,0,0
Saudi_Arabia,2014,2.0149819513533487,9.85208003013487,134.78136443568528,0,0,0,1,0
Colombia,2001,4.805194263632149,8.718495234557984,93.0956959365623,0,1,0,0,0
Indonesia,2003,3.9317138255937287,11.732130978681647,118.5029835355432,1,0,0,0,0
Malaysia,2004,2.498541800393485,13.36618115275565,90.50188311016926,1,0,0,0,0
Czech_Republic,2016,3.436226339949334,9.580998975470198,104.95965120103835,1,0,0,0,0
Nigeria,2007,2.9959911861435824,9.289542044998484,65.42873967020105,0,0,1,0,0
Turkey,2007,9.319027044938965,7.743151138082366,138.9712636460194,1,0,0,0,0
Brazil,2021,3.1221377076733514,5.948063637234922,75.78891404543498,0,0,0,0,1
France,2011,6.3011877119014335,14.331724951626198,83.21442571478771,1,0,0,0,0
Austria,2020,6.744847640897317,7.476876905474555,79.21985998497259,0,0,1,0,0
Turkey,2007,6.34791566166907,12.80760609931714,48.11216400457285,0,0,0,1,0
Greece,2018,2.792451473727904,11.868817234162217,35.454526904278666,1,0,0,0,0
Spain,2002,4.55038689400441,12.70009360305942,12.001409653217696,1,0,0,0,0
Sweden,2017,2.410162659705226,14.304449467093129,108.00807231837976,0,0,0,1,0
Pakistan,2020,5.165359312770528,10.85707836242987,44.10201421238524,0,0,0,0,1
Switzerland,2018,3.508791450172736,13.87745377720249,58.99049651614547,0,0,1,0,0
Canada,2018,6.493060266275038,5.844670552035231,138.06929624620568,0,0,0,1,0
Malaysia,2014,7.542467150792804,10.893838335524665,85.40065506236918,0,0,1,0,0
Colombia,2005,6.256958881637652,12.49503174206074,15.4646315216868,0,0,0,1,0
Egypt,2015,5.473893572891166,6.988052438185915,120.1421750107536,0,1,0,0,0
Morocco,2007,5.098667366853539,12.148291814211614,39.16345926730887,0,0,0,0,1
Ethiopia,2015,8.73353414477603,12.563245120278603,83.35317055428119,0,1,0,0,0
Mexico,2017,3.754944520522161,13.143067516180892,76.9872397547346,0,0,0,1,0
Colombia,2019,7.873746716230951,7.441712038555261,36.47374751043022,0,0,0,1,0
Poland,2015,8.059858597920952,11.4976724918514,18.249884184392577,0,0,1,0,0
Nigeria,2010,5.353600058165876,7.346786117507383,32.47797936775024,0,0,0,1,0
Argentina,2006,4.378404793805115,12.129444262483007,15.503332135030874,0,0,1,0,0
Vietnam,2016,5.764331888367802,9.092710316602837,42.06857482386308,0,0,1,0,0
Iraq,2016,2.745711407141588,10.57298811979942,149.59732909988222,0,0,0,1,0
Spain,2011,2.36744025783272,8.574239795736258,60.911747520966,0,0,1,0,0
Denmark,2012,2.8928255956151343,5.781812196228067,129.71937030891652,0,0,0,0,1
Australia,2009,3.4971602516978093,5.958324825659,82.82747612723016,0,1,0,0,0
Sweden,2006,6.033414562704344,4.853257979883479,100.3208788207262,0,0,0,1,0
Thailand ,2013,8.793093089288977,10.79879947693828,24.295847492832877,0,0,1,0,0
Iraq,2022,3.885138655997496,13.335022377483652,41.94607424587434,0,0,1,0,0
Belgium,2000,9.481296085974224,4.229205088882891,77.0560700313099,0,0,1,0,0
Greece,2016,9.639263271480027,4.7286345229718885,132.29037169979924,0,0,1,0,0
Ethiopia,2003,9.671236838761642,9.032136915332014,7.390317346856085,0,0,0,0,1
Iraq,2020,8.700501877410591,12.114928097850084,76.53107397529241,0,0,0,1,0
United_States,2004,4.910600326381765,5.7347840918314645,8.600819663756056,0,0,0,1,0
Thailand ,2019,2.5814712880209845,6.988164515041133,69.0665787909431,0,0,0,0,1
Italy,2023,6.550549854131959,6.552068214099879,94.70135574056287,0,0,0,0,1
Japan,2022,6.46945155149787,8.389563405382695,111.9637555228178,0,0,0,0,1
Australia,2006,8.799806136876764,6.474985447193283,21.64126878383338,0,0,0,1,0
United_States,2009,9.96792840756884,7.878585463992283,25.819717235740864,1,0,0,0,0
Pakistan,2016,6.065258452481181,12.013968585281386,71.0396733320768,0,1,0,0,0
Mexico,2006,4.761632248318274,10.72110173299608,149.70743223888203,0,0,0,0,1
Australia,2000,3.487213692450136,4.892998759308622,54.05097851285775,0,0,0,0,1
United_Kingdom,2006,2.038398598538966,11.015202328702896,64.70158667707364,0,0,0,1,0
Indonesia,2023,6.072909539911033,9.24784888715135,65.43456467936818,0,0,0,1,0
Mexico,2010,6.444149333620766,14.280221321778528,13.02442238220722,0,1,0,0,0
Saudi_Arabia,2008,8.599507838539179,7.182347488144586,116.3516496482093,0,0,1,0,0
Saudi_Arabia,2011,6.036615743142405,11.98783061669076,38.71212713949001,0,0,0,1,0
Philippines,2002,9.331746789328452,12.039469053490269,105.84639147555508,0,1,0,0,0
India,2003,7.024667812571484,6.436508591101061,71.78839194650301,0,0,0,1,0
Austria,2003,8.722689905768664,13.935459874680298,92.15518159068822,0,0,0,1,0
Peru,2012,3.186413878461977,9.403015204725634,9.041773837754445,0,0,0,1,0
Belgium,2022,8.842689042418517,11.467717035782329,133.60488697806835,1,0,0,0,0
Portugal,2018,7.401150835550787,5.60441114771855,37.33465864353729,1,0,0,0,0
Italy,2009,3.3618642595066444,6.8358430869116615,100.8442127376247,0,0,0,0,1
Japan,2004,3.518108465168087,10.447178297309453,119.9048476978581,1,0,0,0,0
Mexico,2006,9.41200495235377,7.509299952106844,81.46576887519636,0,1,0,0,0
Russia,2023,2.257722883602983,9.496622104280709,51.262769289715,0,0,0,1,0
Switzerland,2015,5.700279546365649,8.11405719310618,146.70760279768044,1,0,0,0,0
Philippines,2000,4.5078023194728125,11.046091763084528,42.487517277333644,0,0,0,1,0
Morocco,2011,7.320619519987424,9.3585989905889,142.3506882313673,0,0,1,0,0
Poland,2001,8.717035100551936,4.05070929570485,24.277395919025032,0,0,0,0,1
Australia,2006,4.8830249724525565,11.146489217399225,58.99409759682919,1,0,0,0,0
Finland,2010,5.4152166985826975,8.643337127551998,21.63584203794803,0,0,0,1,0
Saudi_Arabia,2012,9.855342276011314,7.758681745392451,1.333830487980706,0,0,1,0,0
Pakistan,2001,8.271332077433623,5.035614275115459,39.77852251907476,0,0,0,0,1
Nigeria,2006,9.177633047454332,6.424066596231406,13.994349736924253,0,0,0,0,1
South_Korea,2014,5.510097765213038,6.461495207389388,147.96548294046173,0,0,1,0,0
Norway,2010,3.8726096318729217,14.28906449345202,114.4863443748186,1,0,0,0,0
Saudi_Arabia,2001,5.2949077230916135,8.757642722212015,1.552014651979314,1,0,0,0,0
United_States,2006,7.728735342652108,4.46272431936687,34.32334113871523,0,0,0,1,0
Saudi_Arabia,2003,2.8754432386878346,5.526983504676529,100.84851195127382,0,1,0,0,0
Finland,2010,4.163752844932071,4.869359433062033,60.38426486154842,0,0,0,1,0
Denmark,2001,2.373087203692723,10.477563292279324,124.94454189358989,0,0,0,1,0
Colombia,2015,5.4587819067050525,6.052836407235094,76.22425597798401,0,0,0,1,0
Germany,2006,8.619565887836906,9.484134043099536,98.39406154013194,0,0,1,0,0
United_States,2012,2.1973095063840864,8.070682691569731,89.95857224157761,0,0,0,0,1
India,2004,7.402588214457328,12.842640148586192,96.08716619292152,0,0,0,0,1
Sweden,2016,9.459966996109916,7.525386009918985,35.28472922024984,0,1,0,0,0
Colombia,2020,3.895422892089458,9.040920306364892,56.62012644172256,1,0,0,0,0
Peru,2011,7.549078725821185,11.934141034576085,8.543758676809215,0,0,0,1,0
Norway,2018,9.800815208801602,8.766863276237032,88.55784068854311,0,0,1,0,0
Japan,2006,9.698224481219706,12.72537089614508,69.42951084929057,0,0,1,0,0
Ethiopia,2005,3.879433544233146,11.278527918603311,114.34670620384176,0,0,0,1,0
Ethiopia,2007,2.8026484256965496,8.515820253413876,31.750987228624677,0,0,1,0,0
Sweden,2012,3.186260303167328,9.54380118254999,66.08500529410247,0,0,1,0,0
Austria,2004,7.616285347857137,14.639238014264128,27.931069525550548,0,0,0,1,0
China,2001,7.806071003626204,11.277726461592316,92.48290456201786,0,1,0,0,0
Ukraine,2008,7.393892493025592,13.954947485695572,127.35650822020636,0,0,1,0,0
Peru,2010,4.688627101937905,5.966343538181708,115.05104401889876,0,0,0,0,1
Romania,2023,3.358215518064977,9.315597718696672,141.68549792200218,0,0,0,0,1
Ukraine,2005,6.646088735618025,13.995278368295557,145.7871414976751,0,0,0,0,1
Turkey,2006,5.869443566062932,7.548732675855594,116.0330462697166,0,0,0,1,0
South_Africa,2006,7.8306731769784275,14.644306179610629,43.73410672165854,0,0,0,0,1
Finland,2018,5.530880629484972,5.067852395210232,33.66994520508242,1,0,0,0,0
Poland,2005,4.709117557491747,13.929382873025403,67.68480614779261,0,0,1,0,0
Peru,2010,4.347828618872115,8.897333342724446,149.08867049199097,0,1,0,0,0
Iraq,2010,3.691762560397972,4.811185816552768,62.48753510175615,0,0,0,0,1
Ethiopia,2006,4.125971009493291,13.674737518446962,30.66119317526805,0,0,0,1,0
Israel,2001,2.758643510752811,6.771342336500248,141.7070887897029,0,1,0,0,0
Greece,2018,4.774856087431116,4.244751380447477,58.50177866180739,0,0,0,1,0
Malaysia,2003,2.2925584989036656,5.493878161261115,103.943934196917,0,1,0,0,0
China,2005,3.4913107773306145,11.250262160897378,118.43479381357344,0,1,0,0,0
Ukraine,2016,7.974163556955433,14.755926380520144,126.63022940687055,0,0,1,0,0
Italy,2004,4.603751909412981,5.2260835354186845,123.37077768129576,0,1,0,0,0
South_Korea,2006,7.345896135818751,9.08142852937238,125.60078258699704,1,0,0,0,0
Portugal,2008,7.735073404778219,5.987002060422857,100.48036070910425,1,0,0,0,0
Brazil,2000,6.649482741856908,12.195401875117511,61.17082932159653,1,0,0,0,0
Austria,2000,9.669581930923188,5.298647897379956,100.42574125551174,0,0,0,1,0
Iraq,2018,2.171518932984906,6.638259233289785,125.67341577492708,0,0,1,0,0
France,2005,7.909221204705137,6.160465644139785,53.245727229038735,0,0,0,1,0
Portugal,2017,9.670293151523264,10.077717584036757,45.17969055351398,0,0,0,0,1
Portugal,2009,8.898173834823513,13.605025012006957,52.21237534866936,1,0,0,0,0
Pakistan,2010,3.3431415344401065,9.621992212720604,83.1412260083759,0,0,1,0,0
Pakistan,2000,4.614562450013857,4.640677980486184,8.814137347277734,1,0,0,0,0
Kenya,2000,3.379614719011723,10.197278236565143,117.06665203350916,0,0,1,0,0
South_Africa,2012,6.810466910517633,12.772730992498104,21.688941809080088,0,0,0,1,0
United_Kingdom,2004,7.697503855835938,5.45371817034755,20.79295986083072,0,0,0,1,0
Portugal,2019,4.536590154904466,4.799823357790509,30.451211764059646,1,0,0,0,0
Thailand ,2000,6.316052591874364,6.06588555313326,86.96218781090225,0,1,0,0,0
Peru,2019,7.52736456056956,12.2069495510379,43.54968799478944,0,0,1,0,0
Philippines,2002,5.370718532888387,10.508484614852016,55.84545901899629,0,0,0,0,1
United_States,2017,8.832124243643674,9.946541193579238,139.81571753574104,0,1,0,0,0
Norway,2008,8.172399482302538,6.744278840949452,127.2331248165708,0,0,0,1,0
China,2013,2.5173243508045653,7.654602547715454,127.97638943261258,0,0,1,0,0
Belgium,2016,6.969002392726632,14.624735142376766,87.0686331655722,0,1,0,0,0
Germany,2022,3.882604407677997,6.646877494023243,130.10345594628163,0,0,0,0,1
Peru,2013,6.460146117338202,13.918099655805973,117.00630797574247,0,1,0,0,0
France,2003,9.65510754106373,10.385846549035104,143.03228363374828,0,0,0,0,1
Mexico,2004,9.032496036418,5.356261130083726,10.590892348265417,0,0,0,1,0
Norway,2020,5.236131224921054,9.140436159705748,5.280342914435997,0,0,1,0,0
Japan,2016,4.332110866754827,14.434035890969634,27.079461167859776,0,0,0,1,0
Finland,2021,3.875245955266072,8.604221579510945,139.43363825568835,0,0,1,0,0
Philippines,2001,6.260118958052161,13.497252212682984,91.22920078718263,0,1,0,0,0
Austria,2022,2.9139876260644506,6.820715641168785,64.49076513659685,0,0,0,1,0
Pakistan,2021,6.394200065025989,10.280143669804104,77.39394815994662,0,0,1,0,0
Australia,2004,2.010669115926336,13.28237264022171,124.61108364592285,0,0,0,0,1
Ethiopia,2003,4.590797045966759,14.12757285286665,139.4373893747847,0,0,1,0,0
Ukraine,2003,3.75947451064465,9.344057038664308,109.72512631232556,0,0,0,1,0
Ukraine,2005,9.769750319686256,11.03656912359972,114.21732710765716,0,0,0,1,0
Australia,2019,7.817938556559832,4.032781438605641,48.73632858041186,0,1,0,0,0
Belgium,2020,4.797227043697902,6.785456382647286,70.58824409590633,0,0,0,0,1
Romania,2012,2.742760692244964,7.065833141216404,132.89631882720371,0,0,1,0,0
Romania,2021,6.134404757524992,5.028423128198739,118.10418240081404,0,0,0,1,0
Russia,2004,3.7075830506083385,7.076645146926744,102.9563668507408,0,0,1,0,0
Peru,2022,6.291436367186862,7.532342363639531,10.721778547329942,1,0,0,0,0
Brazil,2022,8.682898833431139,14.656426435250124,6.886575698639273,0,0,0,0,1
Germany,2006,6.926340416811083,11.354626186169211,20.43123052398526,0,0,0,0,1
Romania,2019,7.070307356360018,8.686055873579786,87.62727378047717,1,0,0,0,0
Finland,2000,6.328242312502492,14.868599067650605,80.92164025383134,0,0,0,0,1
Romania,2013,9.418125061051274,5.685555522580723,141.460933155511,1,0,0,0,0
Indonesia,2023,9.455221475364826,9.23656313323533,104.51918636646606,0,0,1,0,0
Romania,2003,6.1017856085884175,11.117684277539542,44.80191998446848,1,0,0,0,0
Brazil,2016,4.446075897148035,4.611386979324847,25.0629477785389,0,1,0,0,0
Brazil,2020,5.676696047035551,11.886987438914309,127.58045265992892,1,0,0,0,0
Portugal,2013,3.492463297564925,5.098540882141888,69.4839914496646,0,0,1,0,0
Poland,2015,7.090754522544715,5.543105394596447,98.36695511391846,0,0,0,0,1
Finland,2013,6.000738686257866,5.756584637082925,85.20639738202962,0,1,0,0,0
Ukraine,2015,2.826403822506239,14.217788093210697,17.010995574358617,1,0,0,0,0
Philippines,2023,3.5811822489569227,11.515590996519846,9.501699168592229,0,0,1,0,0
United_States,2019,5.837055649596215,11.209702512134143,57.175710267745615,0,1,0,0,0
Netherlands,2007,9.100711925750868,10.110428461114914,54.87099433431193,0,1,0,0,0
Brazil,2023,6.531125765048779,7.220865985646131,101.39591883236704,0,1,0,0,0
Pakistan,2002,7.452280001667766,10.829786750592866,95.1978609560731,1,0,0,0,0
Sweden,2018,4.712228397951278,8.511646918775039,145.37219834113515,0,0,1,0,0
Ukraine,2000,6.571291144353874,5.599577651018764,128.85682591296418,0,0,1,0,0
France,2001,5.579038581104539,11.585570193605063,74.99079634051789,0,0,1,0,0
Ukraine,2014,7.273039300985285,5.42540384722915,75.50377753184164,0,0,0,1,0
Turkey,2021,2.404604528632083,6.097354391232906,101.44525513779146,0,0,0,0,1
United_Kingdom,2009,5.946401729911673,12.994692430323664,17.999496833218057,0,0,1,0,0
Indonesia,2017,4.367941001151736,11.261288057376694,149.98369413007748,0,0,0,1,0
Chile,2021,4.609480490223274,10.940902696350063,78.30240708529998,0,0,0,1,0
Australia,2013,9.687339452464492,8.600230627769964,136.5758262124365,0,1,0,0,0
India,2016,3.461558501691062,8.359085700633083,145.13609386317898,0,0,0,0,1
Switzerland,2012,4.489962020628775,11.592888701039412,87.66476824543756,0,1,0,0,0
France,2000,6.079140605846974,12.140060924699505,16.398948481191525,0,0,0,0,1
South_Korea,2004,8.90421558519699,9.612345226007417,86.4285254545757,0,1,0,0,0
United_Kingdom,2012,5.333360665650964,14.661961687833788,90.04872313773203,1,0,0,0,0
Morocco,2013,7.950922247105368,14.512695148107593,118.58977737922632,0,0,0,0,1
Vietnam,2023,8.850992785718418,8.536724390140346,8.186160782241016,0,0,0,1,0
Philippines,2002,4.480130846574792,13.02684479711469,70.48098971206899,0,0,0,1,0
Japan,2014,5.14200146830968,9.975946257582567,138.49276849218515,0,0,0,0,1
France,2018,4.85244978950685,9.62931476312892,148.70356272311935,0,1,0,0,0
Vietnam,2016,8.662846468943368,4.60460467516517,29.51601913512641,1,0,0,0,0
Greece,2002,2.3547748956288093,10.313721815151412,130.71924991752024,1,0,0,0,0
Germany,2015,4.46736871062944,13.906357236194811,22.79133368296597,0,0,1,0,0
Kenya,2013,7.435268460761039,12.581472341146013,126.33499075061668,0,0,0,0,1
Malaysia,2011,6.523547996522741,12.649488591691885,42.31438139268187,1,0,0,0,0
Netherlands,2011,5.490314874349554,5.759219424339731,143.98416464132222,0,1,0,0,0
Sweden,2010,6.319585817771075,7.9429439184692,104.62901588419491,0,1,0,0,0
Germany,2016,3.5806766866265463,6.565254083152594,60.46747960707417,0,0,0,1,0
Netherlands,2007,5.445732972864083,7.475068107011995,42.86502615631677,1,0,0,0,0
Kenya,2016,6.0136238734107925,10.37493277843098,36.05039159369236,1,0,0,0,0
Ukraine,2020,9.209512975636812,8.012621947072727,102.4380567229382,0,1,0,0,0
Italy,2022,4.086681302431811,10.167675992106926,134.47285938395535,0,0,0,1,0
Belgium,2019,8.94262801731946,8.823513731020348,113.4863534725372,1,0,0,0,0
Philippines,2010,7.153931206607855,7.152771142947004,125.3839391644648,0,1,0,0,0
Nigeria,2001,2.162726648540808,5.049437776256745,117.42618137754604,0,0,0,1,0
Peru,2009,7.797050695195149,13.810223030792608,146.89300230820487,0,0,0,1,0
Spain,2009,2.2844150203924407,4.125107026051135,113.9129340971224,0,1,0,0,0
Nigeria,2010,9.979049014510505,4.018177369561683,32.32404925207079,0,0,0,1,0
United_States,2005,8.981093501529582,13.094775137399006,118.94817135570273,0,0,0,1,0
United_Kingdom,2003,4.378749980320365,14.96492034358369,48.98833478673533,0,0,1,0,0
Portugal,2023,4.059289841573643,11.998131104850218,149.3741795367659,0,0,0,1,0
Thailand ,2011,5.051528656844871,4.168012218691732,57.12422039492184,1,0,0,0,0
Czech_Republic,2010,4.849335722515544,6.493592493353647,44.626269621237256,0,0,0,1,0
Poland,2022,4.978702547083048,14.690049702881574,36.64318184082782,1,0,0,0,0
Egypt,2022,4.546212368955843,12.894646773912182,99.1186831566971,0,1,0,0,0
South_Africa,2012,6.969067254786651,10.23479828185182,17.27394216974215,0,0,0,1,0
Austria,2004,3.314109309764992,6.605467803843949,143.0804223782128,0,1,0,0,0
Saudi_Arabia,2005,8.767850339568106,4.158072265194239,44.85258911782744,0,0,0,0,1
Italy,2000,8.499219872250523,4.229476199011499,45.014691044732366,0,0,0,1,0
Vietnam,2005,5.811865662842163,10.731789498832493,7.863848260351807,0,1,0,0,0
Sweden,2017,8.82183972222838,4.240150639876655,37.65661016316256,0,0,0,0,1
Morocco,2021,3.9771605602423454,14.9299315611791,63.42792399575941,1,0,0,0,0
Romania,2008,2.140523645631736,6.017222168431119,56.0713521434089,1,0,0,0,0
Brazil,2023,6.953663400238584,11.81778098056205,41.679968293996815,1,0,0,0,0
United_States,2014,5.663275255717723,5.705656935536547,7.070831838040534,1,0,0,0,0
Morocco,2007,6.537316370366965,9.94102763207486,45.78662466724072,1,0,0,0,0
Russia,2018,9.194715272147224,4.8867241731283935,116.97130980120488,0,0,1,0,0
India,2023,9.759404588527548,12.434562669865675,66.38005051111121,0,1,0,0,0
Finland,2015,7.075625118044824,10.434132041973124,44.32552679220833,0,0,0,0,1
Ukraine,2005,8.112444718819507,4.947833627415565,46.41402798804571,0,0,0,0,1
Japan,2005,2.670467467897314,13.33444808120006,83.61119889759122,0,0,0,1,0
Belgium,2021,3.285724679132045,10.017204762543722,46.04160898312214,0,1,0,0,0
Saudi_Arabia,2002,7.865638439623813,14.1375154101465,94.988800660063,0,0,1,0,0
Netherlands,2009,5.450923651104016,14.08285711045924,148.42872254504215,0,0,1,0,0
Morocco,2000,5.567722163235246,14.125585684352409,7.135283265317043,0,1,0,0,0
Vietnam,2013,4.468861453083493,4.855637202205148,26.14177659890793,1,0,0,0,0
Germany,2003,6.85885106782195,5.330535379299758,27.687024248064585,1,0,0,0,0
Kenya,2011,3.481320363329621,14.864763906878178,67.61347737187023,0,1,0,0,0
Australia,2005,7.015330234511165,9.363609035385766,7.171388095952792,0,0,0,0,1
Philippines,2010,3.390390857081917,6.620354581120624,72.15071508363499,1,0,0,0,0
Australia,2011,2.5106082776777088,12.466309373485238,139.4097889534218,0,0,0,1,0
United_Kingdom,2009,4.642861509592488,6.907137433337302,2.723049215212595,0,0,1,0,0
Romania,2017,3.849122736078781,11.999372568205064,55.375891210591966,1,0,0,0,0
Mexico,2006,9.11193310845066,13.210143556347372,114.37317204453376,0,0,0,0,1
Malaysia,2006,2.439627630949013,12.626897150248087,24.01968054973845,1,0,0,0,0
Chile,2010,3.412909540592983,7.014525890177289,12.556291376454778,1,0,0,0,0
Nigeria,2003,6.389756844664396,8.417804314871608,94.98600205213314,0,0,1,0,0
Kenya,2019,5.848537526779789,8.54576103556604,2.4826854483766447,0,0,0,1,0
Saudi_Arabia,2000,2.3668161469976123,9.40400209914919,120.46380318428766,0,0,0,1,0
Morocco,2012,2.058019424121156,5.841101366941496,10.961060281348717,0,0,0,0,1
Thailand ,2017,9.9045435356892,8.977170554557766,79.12878465363377,0,1,0,0,0
Saudi_Arabia,2008,7.270677602870705,9.618612895670276,111.27902882393134,0,1,0,0,0
Thailand ,2023,4.923249047212455,9.848798962391577,37.05963732322513,0,1,0,0,0
Greece,2023,5.763457981305931,13.01890472982904,16.42748412648789,0,0,0,0,1
Spain,2008,4.132400963634296,9.690679483274447,27.16779219636486,1,0,0,0,0
Bangladesh,2022,4.758990269545678,6.538623147650427,128.34785221831626,0,0,0,1,0
Spain,2008,7.192355738145712,11.294416120686058,106.16126345615156,0,0,0,1,0
Brazil,2009,9.062494390938966,12.770455584952876,30.51660933304957,1,0,0,0,0
Saudi_Arabia,2001,3.473040184649479,7.51308833082088,107.70199877251818,0,0,0,1,0
Vietnam,2005,8.722892043082549,11.098365219193656,106.58410736109433,0,0,0,1,0
Belgium,2014,2.9724530361461525,5.616317955406139,149.6610396177881,0,1,0,0,0
Malaysia,2002,3.7199377887071297,7.761189350358705,59.34184750536095,0,1,0,0,0
Philippines,2010,2.297402304397168,14.001463225045976,129.86317062727286,0,0,1,0,0
Turkey,2005,3.126494896743996,14.02438979478828,67.51996020994943,0,0,1,0,0
Philippines,2002,9.338425163712404,10.3285703661737,134.76627331892806,0,0,0,1,0
Colombia,2023,5.675509972947029,11.725866069516174,14.648474365743445,0,1,0,0,0
Argentina,2010,2.6213268942268284,13.394169567265354,27.12158188866137,0,0,1,0,0
Morocco,2014,9.67781470431169,14.544085038438894,127.6432000969368,0,0,1,0,0
Kenya,2012,9.0319384620692,9.388750843187465,123.07574829170386,0,1,0,0,0
Mexico,2019,8.03746016694513,10.177333102886378,46.50963498669114,0,0,1,0,0
