Country,Year,Coffee_Consumption_kg,Coffee_Price_USD_kg,Population_Millions,Coffee_Type_Americano,Coffee_Type_Cappuccino,Coffee_Type_Espresso,Coffee_Type_Latte,Coffee_Type_Mocha,Year_diff,log_population,standardized_price,price_population_interaction,americano_ratio,yearly_trend,year_trend
Saudi_Arabia,2011,6.036615743142405,11.98783061669076,38.71212713949001,0,0,0,1,0,12,3.656152913725395,0.8015686659489654,464.0744229600036,0.0,1.5498492404064477,0.4782608695652174
Philippines,2002,9.331746789328452,12.039469053490269,105.84639147555508,0,1,0,0,0,21,4.6619889060744475,0.8179553404800806,1274.3343545935616,0.0,1.0507589808734643,0.08695652173913043
India,2003,7.024667812571484,6.436508591101061,71.78839194650301,0,0,0,1,0,20,4.273722790929567,-0.9600591618634836,462.06660150499687,0.0,-0.2736536257268454,0.13043478260869565
Austria,2003,8.722689905768664,13.935459874680298,92.15518159068822,0,0,0,1,0,20,4.523473912493622,1.4196192642245389,1284.224835300912,0.0,0.24172276020773054,0.13043478260869565
Peru,2012,3.186413878461977,9.403015204725634,9.041773837754445,0,0,0,1,0,11,2.2018553761458004,-0.018683291780430468,85.01993687409549,0.0,0.1014884144041921,0.5217391304347826
Belgium,2022,8.842689042418517,11.467717035782329,133.60488697806835,1,0,0,0,0,1,4.8948868396107015,0.6365185114942444,1532.143038462167,1.0,0.3668375088721658,0.9565217391304348
Portugal,2018,7.401150835550787,5.60441114771855,37.33465864353729,1,0,0,0,0,5,3.61992208137736,-1.2241126620850842,209.2387770981071,1.0,0.13985555840169428,0.782608695652174
Italy,2009,3.3618642595066444,6.8358430869116615,100.8442127376247,0,0,0,0,1,14,4.61357687790114,-0.8333364177707052,689.3552144975407,0.0,-0.6627319015499834,0.391304347826087
Japan,2004,3.518108465168087,10.447178297309453,119.9048476978581,1,0,0,0,0,19,4.786698492390947,0.31266602504738694,1252.6673226112584,1.0,-0.2835685595776628,0.17391304347826086
Mexico,2006,9.41200495235377,7.509299952106844,81.46576887519636,0,1,0,0,0,17,4.400182918215043,-0.6196250983605966,611.7508943128593,0.0,3.6173525428735482,0.2608695652173913
Russia,2023,2.257722883602983,9.496622104280709,51.262769289715,0,0,0,1,0,0,3.9369647438565867,0.011021437718476298,486.8231479633498,0.0,-0.6282304439469621,1.0
Switzerland,2015,5.700279546365649,8.11405719310618,146.70760279768044,1,0,0,0,0,8,4.988441509284437,-0.4277145624730049,1190.3938797638834,1.0,-0.29275687940281714,0.6521739130434783
Philippines,2000,4.5078023194728125,11.046091763084528,42.487517277333644,0,0,0,1,0,23,3.7492103216672508,0.5027221275212648,469.3210146310667,0.0,0.292665926734649,0.0
Morocco,2011,7.320619519987424,9.3585989905889,142.3506882313673,0,0,1,0,0,12,4.95829364849541,-0.03277810351512429,1332.203007191709,0.0,0.21270258560082245,0.4782608695652174
Poland,2001,8.717035100551936,4.05070929570485,24.277395919025032,0,0,0,0,1,22,3.1895457083399164,-1.7171563741980247,98.3406733247017,0.0,0.8140858875418089,0.043478260869565216
Australia,2006,4.8830249724525565,11.146489217399225,58.99409759682919,1,0,0,0,0,17,4.077437398169603,0.5345817365561977,657.5770727532541,1.0,-0.4811918398713335,0.2608695652173913
Finland,2010,5.4152166985826975,8.643337127551998,21.63584203794803,0,0,0,1,0,13,3.0743512930927173,-0.25975560478247967,187.0058767724465,0.0,-0.1596692723537404,0.43478260869565216
Saudi_Arabia,2012,9.855342276011314,7.758681745392451,1.333830487980706,0,0,1,0,0,11,0.28805486894006366,-0.5404875695383465,10.348766258543808,0.0,2.0929259825996946,0.5217391304347826
Pakistan,2001,8.271332077433623,5.035614275115459,39.77852251907476,0,0,0,0,1,22,3.6833271314357883,-1.404611720603286,200.30929584005463,0.0,-0.05113011683182189,0.043478260869565216
Nigeria,2006,9.177633047454332,6.424066596231406,13.994349736924253,0,0,0,0,1,17,2.63865365793111,-0.9640074401825667,89.90063468095487,0.0,0.8794974629926495,0.2608695652173913
South_Korea,2014,5.510097765213038,6.461495207389388,147.96548294046173,0,0,1,0,0,9,4.9969790231880555,-0.9521300382468958,956.0782588788496,0.0,-0.26945684282710336,0.6086956521739131
Norway,2010,3.8726096318729217,14.28906449345202,114.4863443748186,1,0,0,0,0,13,4.740455552779864,1.5318303255897112,1635.902758391341,1.0,-0.2848652514891077,0.43478260869565216
Saudi_Arabia,2001,5.2949077230916135,8.757642722212015,1.552014651979314,1,0,0,0,0,22,0.4395538624247847,-0.22348245840410036,13.591989821673053,1.0,-0.35984824771604573,0.043478260869565216
United_States,2006,7.728735342652108,4.46272431936687,34.32334113871523,0,0,0,1,0,17,3.5358256224079794,-1.5864096569630939,153.17560922166982,0.0,-0.1578726995632186,0.2608695652173913
Saudi_Arabia,2003,2.8754432386878346,5.526983504676529,100.84851195127382,0,1,0,0,0,20,4.61361950922219,-1.248683149978959,557.3880620258642,0.0,-0.6703490242400811,0.13043478260869565
Finland,2010,4.163752844932071,4.869359433062033,60.38426486154842,0,0,0,1,0,13,4.100728555463424,-1.4573701725395647,294.032689712097,0.0,0.07518010869542313,0.43478260869565216
Denmark,2001,2.373087203692723,10.477563292279324,124.94454189358989,0,0,0,1,0,22,4.827869974002651,0.3223082422418004,1309.1143457149335,0.0,-0.5518170801459945,0.043478260869565216
Colombia,2015,5.4587819067050525,6.052836407235094,76.22425597798401,0,0,0,1,0,8,4.333679731960614,-1.081811708867648,461.3729516979489,0.0,-0.042365929196326646,0.6521739130434783
Germany,2006,8.619565887836906,9.484134043099536,98.39406154013194,0,0,1,0,0,17,4.58898045203515,0.007058540954287526,933.1824686915961,0.0,0.11526213613094294,0.2608695652173913
United_States,2012,2.1973095063840864,8.070682691569731,89.95857224157761,0,0,0,0,1,11,4.4993492559289034,-0.4414788025174269,726.0270919484257,0.0,-0.7770438159481774,0.5217391304347826
India,2004,7.402588214457328,12.842640148586192,96.08716619292152,0,0,0,0,1,19,4.565255760678546,1.07282950290363,1234.0128983130876,0.0,1.104138711966531,0.17391304347826086
Sweden,2016,9.459966996109916,7.525386009918985,35.28472922024984,0,1,0,0,0,7,3.563450270347957,-0.6145204319494175,265.53120763784773,0.0,0.5596972610853912,0.6956521739130435
Colombia,2020,3.895422892089458,9.040920306364892,56.62012644172256,1,0,0,0,0,3,4.036364512844852,-0.13358861457035504,511.89805089591727,1.0,-0.5522760701651848,0.8695652173913043
Peru,2011,7.549078725821185,11.934141034576085,8.543758676809215,0,0,0,1,0,12,2.145201037063473,0.7845310915692326,101.96242101442432,0.0,0.031207632798016638,0.4782608695652174
Norway,2018,9.800815208801602,8.766863276237032,88.55784068854311,0,0,1,0,0,5,4.483655905634099,-0.22055645546580163,776.3744813552382,0.0,0.324228545880221,0.782608695652174
Japan,2006,9.698224481219706,12.72537089614508,69.42951084929057,0,0,1,0,0,17,4.240312005504739,1.0356158846889525,883.5162766951512,0.0,0.12514070980127867,0.2608695652173913
Ethiopia,2005,3.879433544233146,11.278527918603311,114.34670620384176,0,0,0,1,0,18,4.739235115540087,0.5764822152740798,1289.6625183203598,0.0,-0.379980975163805,0.21739130434782608
Ethiopia,2007,2.8026484256965496,8.515820253413876,31.75098722862468,0,0,1,0,0,16,3.4579238186702486,-0.3002211502799075,270.3857001074074,0.0,-0.4503174606140067,0.30434782608695654
Sweden,2012,3.186260303167328,9.54380118254999,66.08500529410247,0,0,1,0,0,11,4.190941872320268,0.025993002471266468,630.7021516746775,0.0,0.45007350758276576,0.5217391304347826
Austria,2004,7.616285347857137,14.639238014264128,27.931069525550548,0,0,0,1,0,19,3.3297396722976997,1.6429525800692903,408.8895747774939,0.0,0.028867894202524447,0.17391304347826086
